tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,Geocoded_City1,Geocoded_City2,tbl1apk
Table1a,2022,1,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",11259,12953,DAL,LGA,1428,400,123.11,WN,0.9844,122.66,WN,0.9844,122.66,,,202211125912953DALLGA
Table1a,2022,1,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",11298,11618,DFW,EWR,1428,1221,161.46,UA,0.5438,155.32,UA,0.5438,155.32,,,202211129811618DFWEWR
Table1a,2022,1,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",11298,12197,DFW,HPN,1428,18,184.58,AA,0.8037,172.61,AA,0.8037,172.61,,,202211129812197DFWHPN
Table1a,2022,1,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",11298,12391,DFW,ISP,1428,4,175.09,AA,0.9714,177.81,AA,0.9714,177.81,,,202211129812391DFWISP
Table1a,2022,1,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",11298,12478,DFW,JFK,1428,489,146.25,AA,0.3840,155.65,B6,0.2348,123.76,,,202211129812478DFWJFK
Table1a,2022,1,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",11298,12953,DFW,LGA,1428,1794,154.59,AA,0.6616,158.43,AA,0.6616,158.43,,,202211129812953DFWLGA
Table1a,2022,1,30194,31714,"Dallas/Fort Worth, TX","Fort Myers, FL",11259,14635,DAL,RSW,1017,74,216.34,WN,0.9415,210.87,WN,0.9415,210.87,,,202211125914635DALRSW
Table1a,2022,1,30194,31714,"Dallas/Fort Worth, TX","Fort Myers, FL",11298,14635,DFW,RSW,1017,387,249.16,AA,0.9509,248.10,UA,0.0132,203.61,,,202211129814635DFWRSW
Table1a,2022,1,30194,31986,"Dallas/Fort Worth, TX","Grand Rapids, MI",11259,11986,DAL,GRR,931,21,216.20,WN,0.8830,207.53,WN,0.8830,207.53,,,202211125911986DALGRR
Table1a,2022,1,30194,31986,"Dallas/Fort Worth, TX","Grand Rapids, MI",11298,11986,DFW,GRR,931,153,286.82,AA,0.7186,304.83,DL,0.1965,257.39,,,202211129811986DFWGRR
Table1a,2022,1,30194,32206,"Dallas/Fort Worth, TX","Harlingen/San Benito, TX",11259,12206,DAL,HRL,461,105,155.17,WN,0.9979,155.31,WN,0.9979,155.31,,,202211125912206DALHRL
Table1a,2022,1,30194,32206,"Dallas/Fort Worth, TX","Harlingen/San Benito, TX",11298,12206,DFW,HRL,461,73,170.05,AA,0.9637,169.05,AA,0.9637,169.05,,,202211129812206DFWHRL
Table1a,2022,1,30194,32211,"Dallas/Fort Worth, TX","Las Vegas, NV",11259,12889,DAL,LAS,1067,739,199.66,WN,0.9973,199.68,WN,0.9973,199.68,,,202211125912889DALLAS
Table1a,2022,1,30194,32211,"Dallas/Fort Worth, TX","Las Vegas, NV",11298,12889,DFW,LAS,1067,1929,206.69,AA,0.6147,261.45,F9,0.1493,106.96,,,202211129812889DFWLAS
Table1a,2022,1,30194,32337,"Dallas/Fort Worth, TX","Indianapolis, IN",11259,12339,DAL,IND,761,127,210.10,WN,0.9685,209.12,WN,0.9685,209.12,,,202211125912339DALIND
Table1a,2022,1,30194,32337,"Dallas/Fort Worth, TX","Indianapolis, IN",11298,12339,DFW,IND,761,433,235.66,AA,0.9190,233.83,AA,0.9190,233.83,,,202211129812339DFWIND
Table1a,2022,1,30194,32457,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",11259,13796,DAL,OAK,1476,285,178.27,WN,0.9953,178.01,WN,0.9953,178.01,,,202211125913796DALOAK
Table1a,2022,1,30194,32457,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",11259,14771,DAL,SFO,1476,134,194.09,AS,0.7223,200.25,WN,0.2529,173.43,,,202211125914771DALSFO
Table1a,2022,1,30194,32457,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",11259,14831,DAL,SJC,1476,204,220.88,WN,0.9885,220.92,WN,0.9885,220.92,,,202211125914831DALSJC
Table1a,2022,1,30194,32457,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",11298,13796,DFW,OAK,1476,37,179.83,DL,0.4364,245.65,F9,0.2061,118.40,,,202211129813796DFWOAK
Table1a,2022,1,30194,32457,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",11298,14771,DFW,SFO,1476,1031,241.87,AA,0.8429,239.97,AA,0.8429,239.97,,,202211129814771DFWSFO
Table1a,2022,1,30194,32457,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",11298,14831,DFW,SJC,1476,230,278.95,AA,0.8958,276.55,UA,0.0285,244.39,,,202211129814831DFWSJC
Table1a,2022,1,30194,32467,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",11259,11697,DAL,FLL,1121,237,196.67,WN,0.9756,194.33,WN,0.9756,194.33,,,202211125911697DALFLL
Table1a,2022,1,30194,32467,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",11259,13303,DAL,MIA,1121,248,159.52,WN,0.9816,157.74,WN,0.9816,157.74,,,202211125913303DALMIA
Table1a,2022,1,30194,32467,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",11298,11697,DFW,FLL,1121,774,207.12,AA,0.6049,253.24,NK,0.3589,119.56,,,202211129811697DFWFLL
Table1a,2022,1,30194,32467,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",11298,13303,DFW,MIA,1121,1083,231.99,AA,0.8006,255.27,NK,0.1280,119.65,,,202211129813303DFWMIA
Table1a,2022,1,30194,32575,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",11259,10800,DAL,BUR,1246,108,206.83,WN,0.9969,207.02,WN,0.9969,207.02,,,202211125910800DALBUR
Table1a,2022,1,30194,32575,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",11259,12892,DAL,LAX,1246,616,176.61,WN,0.8558,178.89,AS,0.1359,160.63,,,202211125912892DALLAX
Table1a,2022,1,30194,32575,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",11259,12954,DAL,LGB,1246,175,140.58,WN,0.9981,140.33,WN,0.9981,140.33,,,202211125912954DALLGB
Table1a,2022,1,30194,32575,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",11259,13891,DAL,ONT,1246,154,202.56,WN,0.9928,202.00,WN,0.9928,202.00,,,202211125913891DALONT
Table1a,2022,1,30194,32575,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",11259,14908,DAL,SNA,1246,117,221.58,WN,0.9858,221.62,WN,0.9858,221.62,,,202211125914908DALSNA
Table1a,2022,1,30194,32575,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",11298,10800,DFW,BUR,1246,177,230.29,AA,0.9667,231.65,NK,0.0107,132.88,,,202211129810800DFWBUR
Table1a,2022,1,30194,32575,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",11298,12892,DFW,LAX,1246,2428,198.84,AA,0.7094,214.05,NK,0.1530,116.18,,,202211129812892DFWLAX
Table1a,2022,1,30194,32575,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",11298,12954,DFW,LGB,1246,34,185.52,AA,0.9281,186.15,DL,0.0490,182.53,,,202211129812954DFWLGB
Table1a,2022,1,30194,32575,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",11298,13891,DFW,ONT,1246,407,247.38,AA,0.9503,249.88,F9,0.0319,130.61,,,202211129813891DFWONT
Table1a,2022,1,30194,32575,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",11298,14908,DFW,SNA,1246,761,270.54,AA,0.9483,273.08,NK,0.0108,101.63,,,202211129814908DFWSNA
Table1a,2022,1,30194,32600,"Dallas/Fort Worth, TX","Little Rock, AR",11259,12992,DAL,LIT,304,63,143.87,WN,1.0000,143.87,WN,1.0000,143.87,,,202211125912992DALLIT
Table1a,2022,1,30194,32600,"Dallas/Fort Worth, TX","Little Rock, AR",11298,12992,DFW,LIT,304,139,184.85,AA,0.9880,184.44,AA,0.9880,184.44,,,202211129812992DFWLIT
Table1a,2022,1,30194,32896,"Dallas/Fort Worth, TX","Lubbock, TX",11259,12896,DAL,LBB,293,217,153.35,WN,1.0000,153.35,WN,1.0000,153.35,,,202211125912896DALLBB
Table1a,2022,1,30194,32896,"Dallas/Fort Worth, TX","Lubbock, TX",11298,12896,DFW,LBB,293,88,200.06,AA,0.9937,200.22,AA,0.9937,200.22,,,202211129812896DFWLBB
Table1a,2022,1,30194,33044,"Dallas/Fort Worth, TX","Louisville, KY",11259,14730,DAL,SDF,733,64,163.65,WN,0.9428,161.50,WN,0.9428,161.50,,,202211125914730DALSDF
Table1a,2022,1,30194,33044,"Dallas/Fort Worth, TX","Louisville, KY",11298,14730,DFW,SDF,733,215,239.99,AA,0.9009,240.46,UA,0.0191,226.39,,,202211129814730DFWSDF
Table1a,2022,1,30194,33158,"Dallas/Fort Worth, TX","Midland/Odessa, TX",11259,13158,DAL,MAF,319,216,154.73,WN,0.9974,154.76,WN,0.9974,154.76,,,202211125913158DALMAF
Table1a,2022,1,30194,33158,"Dallas/Fort Worth, TX","Midland/Odessa, TX",11298,13158,DFW,MAF,319,88,195.17,AA,0.9710,193.19,AA,0.9710,193.19,,,202211129813158DFWMAF
Table1a,2022,1,30194,33192,"Dallas/Fort Worth, TX","Sacramento, CA",11259,14893,DAL,SMF,1442,202,236.72,WN,0.9912,236.04,WN,0.9912,236.04,,,202211125914893DALSMF
Table1a,2022,1,30194,33192,"Dallas/Fort Worth, TX","Sacramento, CA",11298,14893,DFW,SMF,1442,357,274.54,AA,0.8348,286.31,NK,0.0414,106.43,,,202211129814893DFWSMF
Table1a,2022,1,30194,33195,"Dallas/Fort Worth, TX","Tampa, FL (Metropolitan Area)",11259,15304,DAL,TPA,929,383,165.37,WN,0.9820,164.40,WN,0.9820,164.40,,,202211125915304DALTPA
Table1a,2022,1,30194,33195,"Dallas/Fort Worth, TX","Tampa, FL (Metropolitan Area)",11298,15304,DFW,TPA,929,886,184.38,AA,0.7770,198.81,NK,0.1321,104.70,,,202211129815304DFWTPA
Table1a,2022,1,30194,33198,"Dallas/Fort Worth, TX","Kansas City, MO",11259,13198,DAL,MCI,461,413,158.15,WN,0.9997,158.16,WN,0.9997,158.16,,,202211125913198DALMCI
Table1a,2022,1,30194,33198,"Dallas/Fort Worth, TX","Kansas City, MO",11298,13198,DFW,MCI,461,427,183.56,AA,0.9872,183.27,AA,0.9872,183.27,,,202211129813198DFWMCI
Table1a,2022,1,30194,33214,"Dallas/Fort Worth, TX","San Antonio, TX",11259,14683,DAL,SAT,247,445,162.60,WN,0.9988,162.65,WN,0.9988,162.65,,,202211125914683DALSAT
